Date (M/D/Y),pH,Turbidity,Temperature,Alkalinity,Conductivity,TDS,Chloride,Salinity,DO,BOD5,COD,Ammonia_N,Sulphate,Phosphate,Nitrate_N,Nitrite_N,Fe,Date,Month,Month_Name,Season,WQI_screening,WQI_standard_category,WQI_relative_class
2025-02-15,7.22,185.0,23.1,53.0,1420,710,447.0,0.45,6.68,,,,,,,,,2025-02-15,2,Feb,Winter,1436.4161826341756,Unsuitable,Good-relative
2025-02-16,7.18,230.0,23.5,55.0,1197,598,377.0,0.38,6.7,,,,,,,,,2025-02-16,2,Feb,Winter,1775.9485887021995,Unsuitable,Moderate-relative
2025-02-17,7.26,197.5,21.4,52.5,930,465,293.0,0.29,6.81,,,,,,,,,2025-02-17,2,Feb,Winter,1530.424541003672,Unsuitable,Moderate-relative
2025-02-18,7.2,190.0,22.7,56.0,960,480,302.0,0.3,6.83,,,,,,,,,2025-02-18,2,Feb,Winter,1472.7620525944883,Unsuitable,Good-relative
2025-02-19,7.21,180.0,22.5,56.0,534,267,168.0,0.17,6.9,,,,,,,,,2025-02-19,2,Feb,Winter,1396.402974667112,Unsuitable,Good-relative
2025-02-20,7.23,117.8,22.1,58.0,490,245,154.0,0.15,6.91,,,,,,,,,2025-02-20,2,Feb,Winter,925.9753681243277,Unsuitable,Good-relative
2025-02-21,7.25,115.0,21.8,60.0,476,238,150.0,0.15,7.02,,,,,,,,,2025-02-21,2,Feb,Winter,904.6444938985943,Unsuitable,Good-relative
2025-02-22,7.3,115.0,21.5,64.5,1667,833,525.0,0.52,6.59,,,,,,,,,2025-02-22,2,Feb,Winter,908.6873428285301,Unsuitable,Good-relative
2025-02-23,7.28,107.6,22.0,54.0,1810,905,570.0,0.57,6.55,,,,,,,,,2025-02-23,2,Feb,Winter,852.6972849671747,Unsuitable,Good-relative
2025-02-24,7.23,185.0,22.8,57.5,1923,962,606.0,0.61,6.49,,,,,,,,,2025-02-24,2,Feb,Winter,1438.0064964207563,Unsuitable,Good-relative
2025-02-25,7.2,185.0,22.9,53.5,2300,1150,725.0,0.72,6.42,,,,,,,,,2025-02-25,2,Feb,Winter,1438.3207688883942,Unsuitable,Good-relative
2025-02-26,7.25,175.0,23.5,56.0,2400,1200,756.0,0.76,6.35,,,,,,,,,2025-02-26,2,Feb,Winter,1363.8170728088721,Unsuitable,Good-relative
2025-02-27,7.23,172.5,24.2,54.0,3867,1933,1218.0,1.22,6.19,,,,,,,,,2025-02-27,2,Feb,Winter,1347.1781276658878,Unsuitable,Good-relative
2025-02-28,7.2,210.0,24.8,52.5,3977,1988,1252.0,1.25,6.14,,,,,,,,,2025-02-28,2,Feb,Winter,1630.810695078076,Unsuitable,Moderate-relative
2025-03-01,7.19,290.0,25.0,55.0,2252,1126,709.0,0.71,6.01,1.16,62.3,0.98,42.0,0.34,0.89,0.008,1.25,2025-03-01,3,Mar,Pre-monsoon,2234.2095916323583,Unsuitable,Moderate-relative
2025-03-02,7.15,315.0,24.5,54.5,2192,1096,690.0,0.69,6.03,1.25,52.2,1.23,35.0,0.29,0.75,0.005,1.39,2025-03-02,3,Mar,Pre-monsoon,2422.616878083157,Unsuitable,Poor-relative
2025-03-03,7.18,375.0,26.3,54.0,2077,1038,654.0,0.65,6.05,1.09,44.4,1.24,27.0,0.6,0.82,0.008,1.45,2025-03-03,3,Mar,Pre-monsoon,2876.81703571826,Unsuitable,Poor-relative
2025-03-04,7.2,312.0,27.2,56.5,1788,894,563.0,0.56,6.14,0.92,28.6,1.1,38.0,0.51,0.7,0.006,1.64,2025-03-04,3,Mar,Pre-monsoon,2399.697976707096,Unsuitable,Poor-relative
2025-03-05,7.13,295.0,27.2,52.5,888,444,280.0,0.28,6.4,0.95,,1.28,52.0,0.34,1.05,0.011,0.98,2025-03-05,3,Mar,Pre-monsoon,2267.7886335818407,Unsuitable,Moderate-relative
2025-03-06,7.2,230.0,26.9,55.0,740,370,233.0,0.23,6.49,0.88,,,,,,,,2025-03-06,3,Mar,Pre-monsoon,1776.4645525017618,Unsuitable,Moderate-relative
2025-03-07,7.23,162.5,28.5,57.0,638,319,201.0,0.2,6.72,0.75,,,,,,,,2025-03-07,3,Mar,Pre-monsoon,1265.1395237565373,Unsuitable,Good-relative
2025-03-08,7.25,147.3,27.9,54.5,925,463,292.0,0.29,6.65,0.63,,,,,,,,2025-03-08,3,Mar,Pre-monsoon,1151.0740940617932,Unsuitable,Good-relative
2025-03-09,7.21,128.0,28.3,54.0,1058,529,333.0,0.33,6.45,,,,,,,,,2025-03-09,3,Mar,Pre-monsoon,1005.4073253959424,Unsuitable,Good-relative
2025-03-10,7.2,145.0,28.1,54.0,1133,567,357.0,0.36,6.35,,,,,,,,,2025-03-10,3,Mar,Pre-monsoon,1134.3846852861543,Unsuitable,Good-relative
2025-03-11,7.25,150.0,28.0,56.5,1475,738,465.0,0.46,6.24,,,,,,,,,2025-03-11,3,Mar,Pre-monsoon,1173.8605003523608,Unsuitable,Good-relative
2025-03-12,7.19,155.0,28.5,53.5,1753,877,553.0,0.55,6.07,,,,,,,,,2025-03-12,3,Mar,Pre-monsoon,1211.830026705241,Unsuitable,Good-relative
2025-03-13,7.22,195.0,29.1,56.5,1805,903,569.0,0.57,6.04,,,,,,,,,2025-03-13,3,Mar,Pre-monsoon,1515.1350228107267,Unsuitable,Good-relative
2025-03-14,7.22,270.0,29.5,54.0,1197,598,377.0,0.38,6.48,,,,,,,,,2025-03-14,3,Mar,Pre-monsoon,2080.063699417678,Unsuitable,Moderate-relative
2025-03-15,7.18,327.0,29.2,52.0,1230,615,387.0,0.39,6.44,,,,,,,,,2025-03-15,3,Mar,Pre-monsoon,2510.9511961722487,Unsuitable,Poor-relative
2025-03-16,7.13,305.0,28.7,50.5,1125,563,355.0,0.35,6.5,,,,,,,,,2025-03-16,3,Mar,Pre-monsoon,2343.366972664219,Unsuitable,Poor-relative
2025-03-17,7.16,305.0,28.5,52.5,1133,567,357.0,0.36,6.48,,,,,,,,,2025-03-17,3,Mar,Pre-monsoon,2343.909415451949,Unsuitable,Poor-relative
2025-03-18,7.22,262.0,29.9,55.5,960,480,302.0,0.3,6.57,,,,,,,,,2025-03-18,3,Mar,Pre-monsoon,2018.8679555654467,Unsuitable,Moderate-relative
2025-03-19,7.18,250.0,27.8,54.0,780,390,246.0,0.25,6.63,,,,,,,,,2025-03-19,3,Mar,Pre-monsoon,1926.9955528355777,Unsuitable,Moderate-relative
2025-03-20,7.21,240.0,27.5,54.5,618,309,195.0,0.19,6.78,,,,,,,,,2025-03-20,3,Mar,Pre-monsoon,1850.9713790289677,Unsuitable,Moderate-relative
2025-03-21,7.23,225.0,28.2,56.5,584,292,184.0,0.18,6.83,,,,,,,,,2025-03-21,3,Mar,Pre-monsoon,1737.5370887578354,Unsuitable,Moderate-relative
2025-03-22,7.27,170.0,28.0,58.0,500,250,158.0,0.16,6.91,,,,,,,,,2025-03-22,3,Mar,Pre-monsoon,1321.5552205036906,Unsuitable,Good-relative
2025-03-23,7.21,132.5,28.9,55.5,442,221,139.0,0.14,6.97,,,,,,,,,2025-03-23,3,Mar,Pre-monsoon,1036.5941378287157,Unsuitable,Good-relative
2025-03-24,7.18,90.0,29.2,54.0,450,225,142.0,0.14,6.94,,,,,,,,,2025-03-24,3,Mar,Pre-monsoon,714.6966803901931,Unsuitable,Good-relative
2025-03-25,7.15,130.0,29.0,53.5,1080,540,340.0,0.34,6.5,,,,,,,,,2025-03-25,3,Mar,Pre-monsoon,1019.4802214309558,Unsuitable,Good-relative
2025-03-26,7.2,140.0,29.7,56.0,1340,670,422.0,0.42,6.31,,,,,,,,,2025-03-26,3,Mar,Pre-monsoon,1096.9940172842253,Unsuitable,Good-relative
2025-03-27,7.15,195.0,28.5,53.5,1288,644,406.0,0.41,6.4,,,,,,,,,2025-03-27,3,Mar,Pre-monsoon,1511.9742758057935,Unsuitable,Good-relative
2025-03-28,7.14,275.0,29.9,54.0,2030,1015,639.0,0.64,6.19,,,,,,,,,2025-03-28,3,Mar,Pre-monsoon,2118.960568969994,Unsuitable,Moderate-relative
2025-03-29,7.19,335.0,30.1,56.5,2033,1017,641.0,0.64,6.16,,,,,,,,,2025-03-29,3,Mar,Pre-monsoon,2573.8290920218096,Unsuitable,Poor-relative
2025-03-30,7.15,390.0,28.7,52.0,2498,1249,787.0,0.79,5.95,,,,,,,,,2025-03-30,3,Mar,Pre-monsoon,2990.816041689848,Unsuitable,Poor-relative
2025-03-31,7.12,387.0,29.5,51.5,2267,1133,714.0,0.71,6.96,,,,,,,,,2025-03-31,3,Mar,Pre-monsoon,2963.3801361225474,Unsuitable,Poor-relative
2025-04-01,7.1,420.0,28.6,54.0,736,368,200.0,0.2,7.01,1.31,36.7,0.65,21.0,0.5,0.93,0.008,0.69,2025-04-01,4,Apr,Pre-monsoon,3210.4576870294127,Unsuitable,Poor-relative
2025-04-02,7.07,370.0,27.3,60.0,410,205,85.5,0.08,7.05,1.09,47.3,0.81,27.0,0.54,0.85,0.006,0.83,2025-04-02,4,Apr,Pre-monsoon,2831.089214049924,Unsuitable,Poor-relative
2025-04-03,7.15,385.0,28.0,64.0,458,229,125.0,0.12,7.03,0.96,50.2,0.77,16.0,0.47,0.7,0.005,0.95,2025-04-03,4,Apr,Pre-monsoon,2946.0088312748044,Unsuitable,Poor-relative
2025-04-04,7.12,264.0,28.3,60.0,360,180,72.0,0.07,6.99,1.41,42.0,1.15,25.0,0.72,1.0,0.013,1.15,2025-04-04,4,Apr,Pre-monsoon,2029.9603019175845,Unsuitable,Moderate-relative
2025-04-05,7.19,180.0,28.9,63.0,432,216,105.0,0.1,6.94,1.35,,1.02,19.0,0.51,0.89,0.008,0.98,2025-04-05,4,Apr,Pre-monsoon,1395.752453544008,Unsuitable,Good-relative
2025-04-06,7.14,245.0,28.5,58.0,540,270,149.0,0.15,6.87,0.85,,,,,,,,2025-04-06,4,Apr,Pre-monsoon,1887.2584065872927,Unsuitable,Moderate-relative
2025-04-07,7.2,230.0,27.7,60.0,410,205,113.0,0.11,6.9,1.23,,,,,,,,2025-04-07,4,Apr,Pre-monsoon,1774.3843996884386,Unsuitable,Moderate-relative
2025-04-08,7.25,135.0,28.3,65.0,466,233,128.0,0.13,6.83,0.9,,,,,,,,2025-04-08,4,Apr,Pre-monsoon,1056.6762360446571,Unsuitable,Good-relative
2025-04-09,7.14,174.5,28.1,58.0,306,153,61.0,0.06,6.88,,,,,,,,,2025-04-09,4,Apr,Pre-monsoon,1353.4269426208225,Unsuitable,Good-relative
2025-04-10,7.18,240.0,27.7,63.0,420,210,103.0,0.1,6.85,,,,,,,,,2025-04-10,4,Apr,Pre-monsoon,1849.9372723563667,Unsuitable,Moderate-relative
2025-04-11,7.07,320.0,28.5,54.0,274,137,55.0,0.05,6.89,,,,,,,,,2025-04-11,4,Apr,Pre-monsoon,2453.223370794852,Unsuitable,Poor-relative
2025-04-12,7.05,245.0,28.2,52.5,380,190,76.0,0.07,6.83,,,,,,,,,2025-04-12,4,Apr,Pre-monsoon,1885.7732966136275,Unsuitable,Moderate-relative
2025-04-13,7.12,260.0,28.9,58.0,320,160,64.0,0.06,6.88,,,,,,,,,2025-04-13,4,Apr,Pre-monsoon,2000.0790549311969,Unsuitable,Moderate-relative
2025-04-14,7.15,209.0,28.5,63.0,370,185,75.0,0.07,6.82,,,,,,,,,2025-04-14,4,Apr,Pre-monsoon,1614.9457178888026,Unsuitable,Moderate-relative
2025-04-15,7.11,380.0,29.1,60.5,336,168,69.0,0.07,6.85,,,,,,,,,2025-04-15,4,Apr,Pre-monsoon,2908.0601183190533,Unsuitable,Poor-relative
2025-04-16,7.03,295.0,28.6,54.0,264,132,55.0,0.05,6.96,,,,,,,,,2025-04-16,4,Apr,Pre-monsoon,2263.1881532584107,Unsuitable,Moderate-relative
2025-04-17,7.09,267.0,29.0,62.0,580,290,160.0,0.16,6.81,,,,,,,,,2025-04-17,4,Apr,Pre-monsoon,2053.2830570082715,Unsuitable,Moderate-relative
2025-04-18,7.05,323.0,28.2,58.5,420,210,119.0,0.12,6.85,,,,,,,,,2025-04-18,4,Apr,Pre-monsoon,2476.053953859278,Unsuitable,Poor-relative
2025-04-19,7.1,290.0,29.4,64.0,310,155,65.0,0.06,6.87,,,,,,,,,2025-04-19,4,Apr,Pre-monsoon,2226.843904157858,Unsuitable,Moderate-relative
2025-04-20,7.14,265.0,29.7,65.0,406,203,110.0,0.11,6.84,,,,,,,,,2025-04-20,4,Apr,Pre-monsoon,2038.5707021252922,Unsuitable,Moderate-relative
2025-04-21,7.17,180.0,28.4,68.0,360,180,74.0,0.07,6.8,,,,,,,,,2025-04-21,4,Apr,Pre-monsoon,1395.910033010645,Unsuitable,Good-relative
2025-04-22,7.11,104.9,29.1,63.5,270,135,55.0,0.05,6.87,,,,,,,,,2025-04-22,4,Apr,Pre-monsoon,826.3881439857573,Unsuitable,Good-relative
2025-04-23,7.18,90.0,29.8,67.0,420,210,119.0,0.12,6.79,,,,,,,,,2025-04-23,4,Apr,Pre-monsoon,715.2683283261007,Unsuitable,Good-relative
2025-04-24,7.15,277.0,27.9,64.0,326,163,68.0,0.07,6.85,,,,,,,,,2025-04-24,4,Apr,Pre-monsoon,2129.315362931642,Unsuitable,Moderate-relative
2025-04-25,7.15,310.0,28.5,62.5,290,145,63.0,0.06,6.74,,,,,,,,,2025-04-25,4,Apr,Pre-monsoon,2379.4070156893295,Unsuitable,Poor-relative
2025-04-26,7.08,390.0,29.2,58.0,386,193,81.0,0.08,6.79,,,,,,,,,2025-04-26,4,Apr,Pre-monsoon,2983.5597455583993,Unsuitable,Poor-relative
2025-04-27,7.05,420.0,27.6,55.5,860,430,267.0,0.26,6.45,,,,,,,,,2025-04-27,4,Apr,Pre-monsoon,3212.179553799933,Unsuitable,Poor-relative
2025-04-28,7.1,485.0,28.5,57.0,500,250,143.0,0.14,6.53,,,,,,,,,2025-04-28,4,Apr,Pre-monsoon,3703.9232150142802,Unsuitable,Poor-relative
2025-04-29,7.03,443.0,28.3,53.5,376,188,78.0,0.08,6.65,,,,,,,,,2025-04-29,4,Apr,Pre-monsoon,3384.3592133081115,Unsuitable,Poor-relative
2025-04-30,7.12,530.0,28.8,58.5,420,210,115.0,0.11,6.62,,,,,,,,,2025-04-30,4,Apr,Pre-monsoon,4044.2491654612213,Unsuitable,Poor-relative
2025-05-01,7.09,520.0,29.3,56.0,340,170,71.0,0.07,6.66,0.65,38.9,0.62,16.0,0.49,1.05,0.011,0.49,2025-05-01,5,May,Pre-monsoon,3967.8063350765915,Unsuitable,Poor-relative
2025-05-02,7.12,570.0,29.5,61.0,420,210,119.0,0.12,6.57,0.92,49.2,0.75,13.0,0.35,1.08,0.015,0.63,2025-05-02,5,May,Pre-monsoon,4347.1295352546285,Unsuitable,Poor-relative
2025-05-03,7.17,380.0,29.2,65.0,340,170,69.0,0.07,6.64,1.28,25.6,0.48,16.0,0.58,0.99,0.009,0.57,2025-05-03,5,May,Pre-monsoon,2909.800671340083,Unsuitable,Poor-relative
2025-05-04,7.11,220.0,28.5,58.0,380,190,83.0,0.08,6.59,0.78,47.2,0.53,22.0,0.46,0.86,0.01,0.81,2025-05-04,5,May,Pre-monsoon,1698.494354808798,Unsuitable,Moderate-relative
2025-05-05,7.18,150.0,28.7,67.0,290,145,62.0,0.06,6.7,0.97,,0.6,15.0,0.7,0.95,0.008,0.77,2025-05-05,5,May,Pre-monsoon,1169.390404658581,Unsuitable,Good-relative
2025-05-06,7.23,185.0,29.5,70.0,578,289,172.0,0.17,6.52,1.13,,,,,,,,2025-05-06,5,May,Pre-monsoon,1436.1246170394274,Unsuitable,Good-relative
2025-05-07,7.2,120.0,30.1,64.0,312,156,65.0,0.06,6.63,1.67,,,,,,,,2025-05-07,5,May,Pre-monsoon,942.9716590630911,Unsuitable,Good-relative
2025-05-08,7.19,200.0,29.8,62.0,296,148,60.0,0.06,6.71,0.98,,,,,,,,2025-05-08,5,May,Pre-monsoon,1547.7961759578652,Unsuitable,Moderate-relative
2025-05-09,7.1,247.0,30.3,57.5,370,185,83.0,0.08,6.62,,,,,,,,,2025-05-09,5,May,Pre-monsoon,1902.5167111754017,Unsuitable,Moderate-relative
2025-05-10,7.17,289.0,29.5,63.0,398,199,93.0,0.09,6.67,,,,,,,,,2025-05-10,5,May,Pre-monsoon,2221.217440005935,Unsuitable,Moderate-relative
2025-05-11,7.14,274.0,30.1,60.0,362,181,79.0,0.08,6.59,,,,,,,,,2025-05-11,5,May,Pre-monsoon,2107.520169875005,Unsuitable,Moderate-relative
2025-05-12,7.09,350.0,28.8,55.0,294,147,65.0,0.06,6.62,,,,,,,,,2025-05-12,5,May,Pre-monsoon,2681.621241793702,Unsuitable,Poor-relative
2025-05-13,7.03,323.0,29.2,52.0,342,171,68.0,0.07,6.55,,,,,,,,,2025-05-13,5,May,Pre-monsoon,2476.7248878008977,Unsuitable,Poor-relative
2025-05-14,7.1,244.7,29.5,58.0,274,137,60.0,0.06,6.68,,,,,,,,,2025-05-14,5,May,Pre-monsoon,1884.7737769370574,Unsuitable,Moderate-relative
2025-05-15,7.05,370.0,28.9,55.0,246,123,54.0,0.05,6.65,,,,,,,,,2025-05-15,5,May,Pre-monsoon,2832.1878120247766,Unsuitable,Poor-relative
2025-05-16,7.08,396.0,28.5,56.5,534,267,150.0,0.15,6.58,,,,,,,,,2025-05-16,5,May,Pre-monsoon,3030.043972775491,Unsuitable,Poor-relative
2025-05-17,7.05,375.0,29.1,54.0,498,249,139.0,0.14,6.53,,,,,,,,,2025-05-17,5,May,Pre-monsoon,2870.841011090093,Unsuitable,Poor-relative
2025-05-18,7.01,281.0,29.7,52.5,580,290,162.0,0.16,6.48,,,,,,,,,2025-05-18,5,May,Pre-monsoon,2159.2885631096774,Unsuitable,Moderate-relative
2025-05-19,7.08,253.0,30.5,58.0,334,167,94.0,0.09,6.6,,,,,,,,,2025-05-19,5,May,Pre-monsoon,1947.7197507510848,Unsuitable,Moderate-relative
2025-05-20,7.15,238.0,32.0,64.0,410,205,115.0,0.11,6.45,,,,,,,,,2025-05-20,5,May,Pre-monsoon,1835.972831126442,Unsuitable,Moderate-relative
2025-05-21,7.18,199.0,31.5,67.0,286,143,57.0,0.06,6.71,,,,,,,,,2025-05-21,5,May,Pre-monsoon,1540.0921108267496,Unsuitable,Moderate-relative
2025-05-22,7.11,178.0,28.9,60.0,370,185,77.0,0.08,6.65,,,,,,,,,2025-05-22,5,May,Pre-monsoon,1380.4530507028671,Unsuitable,Good-relative
2025-05-23,7.03,220.0,28.5,55.0,346,173,75.0,0.07,6.65,,,,,,,,,2025-05-23,5,May,Pre-monsoon,1697.0197396239014,Unsuitable,Moderate-relative
2025-05-24,6.96,658.0,29.3,52.0,218,109,49.0,0.05,6.49,,,,,,,,,2025-05-24,5,May,Pre-monsoon,5011.184284707541,Unsuitable,Poor-relative
2025-05-25,7.03,265.0,31.3,57.0,252,126,57.0,0.06,6.58,,,,,,,,,2025-05-25,5,May,Pre-monsoon,2037.7068395089204,Unsuitable,Moderate-relative
2025-05-26,6.92,288.0,28.6,50.5,234,117,53.0,0.05,6.55,,,,,,,,,2025-05-26,5,May,Pre-monsoon,2211.35947665146,Unsuitable,Moderate-relative
